trial0045, AA, 1825, 20, 91.298898, AA_Clever, 2624, 20, 131.239372, ZIC, 1953, 20, 97.684861, ZIP, 3021, 20, 151.076869, 60, 88, 
trial0046, AA, 2631, 20, 131.551028, AA_Clever, 2254, 20, 112.726211, ZIC, 2166, 20, 108.342164, ZIP, 3627, 20, 181.380597, 97, 105, 
trial0047, AA, 2757, 20, 137.861669, AA_Clever, 2758, 20, 137.913981, ZIC, 3105, 20, 155.255014, ZIP, 2007, 20, 100.369336, 77, 96, 
trial0048, AA, 2133, 20, 106.650063, AA_Clever, 2256, 20, 112.817672, ZIC, 3050, 20, 152.523596, ZIP, 2920, 20, 146.008669, 104, 108, 
trial0049, AA, 3252, 20, 162.601526, AA_Clever, 1337, 20, 66.860060, ZIC, 3308, 20, 165.439697, ZIP, 1937, 20, 96.898717, 81, 103, 
trial0050, AA, 2698, 20, 134.911356, AA_Clever, 2524, 20, 126.205222, ZIC, 2028, 20, 101.432119, ZIP, 2797, 20, 139.851302, 88, 92, 
trial0051, AA, 2367, 20, 118.372266, AA_Clever, 2841, 20, 142.082072, ZIC, 3378, 20, 168.924811, ZIP, 2134, 20, 106.720850, 81, 95, 
trial0052, AA, 2808, 20, 140.435659, AA_Clever, 2024, 20, 101.213730, ZIC, 3136, 20, 156.831863, ZIP, 2444, 20, 122.218748, 89, 90, 
trial0053, AA, 1501, 20, 75.059245, AA_Clever, 3078, 20, 153.914806, ZIC, 2383, 20, 119.167160, ZIP, 2901, 20, 145.058789, 94, 109, 
trial0054, AA, 2397, 20, 119.853888, AA_Clever, 2485, 20, 124.252774, ZIC, 2300, 20, 115.002756, ZIP, 3013, 20, 150.690582, 98, 104, 
trial0055, AA, 2258, 20, 112.910154, AA_Clever, 2663, 20, 133.198947, ZIC, 2632, 20, 131.612563, ZIP, 3259, 20, 162.978335, 88, 99, 
trial0056, AA, 3019, 20, 150.993857, AA_Clever, 2668, 20, 133.432006, ZIC, 2583, 20, 129.157962, ZIP, 2200, 20, 110.016175, 98, 110, 
trial0057, AA, 2526, 20, 126.303978, AA_Clever, 2854, 20, 142.736300, ZIC, 2102, 20, 105.135475, ZIP, 2402, 20, 120.124246, 97, 100, 
trial0058, AA, 2855, 20, 142.758268, AA_Clever, 1679, 20, 83.994991, ZIC, 2644, 20, 132.201474, ZIP, 4074, 20, 203.745266, 98, 120, 
trial0059, AA, 2631, 20, 131.595951, AA_Clever, 2377, 20, 118.882192, ZIC, 2330, 20, 116.508752, ZIP, 2594, 20, 129.713105, 93, 103, 
trial0060, AA, 2460, 20, 123.006185, AA_Clever, 2396, 20, 119.827672, ZIC, 2151, 20, 107.573003, ZIP, 3515, 20, 175.793140, 87, 91, 
trial0061, AA, 3293, 20, 164.655493, AA_Clever, 2066, 20, 103.339986, ZIC, 1759, 20, 87.971617, ZIP, 2984, 20, 149.232903, 77, 97, 
